run_label,mode,logged_at_raw,logged_at_utc,since_ny,sport,game_id,game,game_key,market,side,color,is_dark_green_high_underdog,espn_day,final_home,final_home_score,final_away,final_away_score,outcome
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:49:31.976238+00:00,2026-01-01T00:49:31.976238+00:00,2025-12-30,nba,33372974,DEN Nuggets @ TOR Raptors,4c2a8c34c16cb68e085472a3c2e91868,TOTAL,Over 229.5,YELLOW,False,20251231,Toronto Raptors,103,Denver Nuggets,106,LOSS
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:52:49.666334+00:00,2026-01-01T00:52:49.666334+00:00,2025-12-30,nba,33372974,DEN Nuggets @ TOR Raptors,4c2a8c34c16cb68e085472a3c2e91868,TOTAL,Over 229.5,YELLOW,False,20251231,Toronto Raptors,103,Denver Nuggets,106,LOSS
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:28:39.247767+00:00,2026-01-01T00:28:39.247767+00:00,2025-12-30,ncaab,33383819,Florida Gulf Coast @ Central Arkansas,d1aec97a2f09bbaaa688abd25e6d0f05,SPREAD,Florida Gulf Coast -2.5,RED,False,20251230,North Carolina Tar Heels,79,Florida State Seminoles,66,LOSS
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:38:23.073849+00:00,2026-01-01T00:38:23.073849+00:00,2025-12-30,ncaab,33383819,Florida Gulf Coast @ Central Arkansas,d1aec97a2f09bbaaa688abd25e6d0f05,SPREAD,Florida Gulf Coast -2.5,RED,False,20251230,North Carolina Tar Heels,79,Florida State Seminoles,66,LOSS
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:40:29.349305+00:00,2026-01-01T00:40:29.349305+00:00,2025-12-30,ncaab,33383819,Florida Gulf Coast @ Central Arkansas,d1aec97a2f09bbaaa688abd25e6d0f05,SPREAD,Florida Gulf Coast -2.5,RED,False,20251230,North Carolina Tar Heels,79,Florida State Seminoles,66,LOSS
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:44:42.008005+00:00,2026-01-01T00:44:42.008005+00:00,2025-12-30,ncaab,33383819,Florida Gulf Coast @ Central Arkansas,d1aec97a2f09bbaaa688abd25e6d0f05,SPREAD,Florida Gulf Coast -2.5,RED,False,20251230,North Carolina Tar Heels,79,Florida State Seminoles,66,LOSS
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:49:31.985705+00:00,2026-01-01T00:49:31.985705+00:00,2025-12-30,ncaab,33383819,Florida Gulf Coast @ Central Arkansas,d1aec97a2f09bbaaa688abd25e6d0f05,SPREAD,Florida Gulf Coast -2.5,RED,False,20251230,North Carolina Tar Heels,79,Florida State Seminoles,66,LOSS
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:52:49.675758+00:00,2026-01-01T00:52:49.675758+00:00,2025-12-30,ncaab,33383819,Florida Gulf Coast @ Central Arkansas,d1aec97a2f09bbaaa688abd25e6d0f05,SPREAD,Florida Gulf Coast -2.5,RED,False,20251230,North Carolina Tar Heels,79,Florida State Seminoles,66,LOSS
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:28:39.233404+00:00,2026-01-01T00:28:39.233404+00:00,2025-12-30,ncaab,33380242,George Washington @ Richmond,f291e2f410f337120e6e280b991c9020,TOTAL,Over 162.5,LIGHT_GREEN,False,20251230,San Diego Toreros,93,Gonzaga Bulldogs,99,WIN
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:38:23.059207+00:00,2026-01-01T00:38:23.059207+00:00,2025-12-30,ncaab,33380242,George Washington @ Richmond,f291e2f410f337120e6e280b991c9020,TOTAL,Over 162.5,LIGHT_GREEN,False,20251230,San Diego Toreros,93,Gonzaga Bulldogs,99,WIN
