logged_at_utc,logic_version,sport,game_id,game,market,side,color
2026-01-01T00:28:39.230103+00:00,v0.1,nhl,33378585,BOS Bruins @ EDM Oilers,MONEYLINE,EDM Oilers,RED
2026-01-01T00:28:39.241692+00:00,v0.1,nhl,33378585,BOS Bruins @ EDM Oilers,TOTAL,Over 6.5,LIGHT_GREEN
2026-01-01T00:38:23.055950+00:00,v0.1,nhl,33378585,BOS Bruins @ EDM Oilers,MONEYLINE,EDM Oilers,RED
2026-01-01T00:38:23.067736+00:00,v0.1,nhl,33378585,BOS Bruins @ EDM Oilers,TOTAL,Over 6.5,LIGHT_GREEN
2026-01-01T00:40:29.331622+00:00,v0.1,nhl,33378585,BOS Bruins @ EDM Oilers,MONEYLINE,EDM Oilers,RED
2026-01-01T00:40:29.343238+00:00,v0.1,nhl,33378585,BOS Bruins @ EDM Oilers,TOTAL,Over 6.5,LIGHT_GREEN
2026-01-01T00:44:41.988617+00:00,v0.1,nhl,33378585,BOS Bruins @ EDM Oilers,MONEYLINE,EDM Oilers,RED
2026-01-01T00:44:42.001469+00:00,v0.1,nhl,33378585,BOS Bruins @ EDM Oilers,TOTAL,Over 6.5,LIGHT_GREEN
2026-01-01T00:49:31.967802+00:00,v0.1,nhl,33378585,BOS Bruins @ EDM Oilers,MONEYLINE,EDM Oilers,RED
2026-01-01T00:49:31.979550+00:00,v0.1,nhl,33378585,BOS Bruins @ EDM Oilers,TOTAL,Over 6.5,LIGHT_GREEN
2026-01-01T00:52:49.657677+00:00,v0.1,nhl,33378585,BOS Bruins @ EDM Oilers,MONEYLINE,EDM Oilers,RED
2026-01-01T00:52:49.669456+00:00,v0.1,nhl,33378585,BOS Bruins @ EDM Oilers,TOTAL,Over 6.5,LIGHT_GREEN
2026-01-01T00:28:39.235679+00:00,v0.1,nfl,32225607,CAR Panthers @ TB Buccaneers,TOTAL,Over 43.5,YELLOW
2026-01-01T00:38:23.061467+00:00,v0.1,nfl,32225607,CAR Panthers @ TB Buccaneers,TOTAL,Over 43.5,YELLOW
2026-01-01T00:40:29.337207+00:00,v0.1,nfl,32225607,CAR Panthers @ TB Buccaneers,TOTAL,Over 43.5,YELLOW
2026-01-01T00:44:41.994485+00:00,v0.1,nfl,32225607,CAR Panthers @ TB Buccaneers,TOTAL,Over 43.5,YELLOW
2026-01-01T00:49:31.973313+00:00,v0.1,nfl,32225607,CAR Panthers @ TB Buccaneers,TOTAL,Over 43.5,YELLOW
2026-01-01T00:52:49.663389+00:00,v0.1,nfl,32225607,CAR Panthers @ TB Buccaneers,TOTAL,Over 43.5,YELLOW
2026-01-01T00:28:39.227388+00:00,v0.1,nfl,32225528,CLE Browns @ CIN Bengals,MONEYLINE,CIN Bengals,RED
2026-01-01T00:28:39.227665+00:00,v0.1,nfl,32225528,CLE Browns @ CIN Bengals,MONEYLINE,CLE Browns,LIGHT_GREEN
2026-01-01T00:38:23.053177+00:00,v0.1,nfl,32225528,CLE Browns @ CIN Bengals,MONEYLINE,CIN Bengals,RED
2026-01-01T00:38:23.053459+00:00,v0.1,nfl,32225528,CLE Browns @ CIN Bengals,MONEYLINE,CLE Browns,LIGHT_GREEN
2026-01-01T00:40:29.328689+00:00,v0.1,nfl,32225528,CLE Browns @ CIN Bengals,MONEYLINE,CIN Bengals,RED
2026-01-01T00:40:29.328977+00:00,v0.1,nfl,32225528,CLE Browns @ CIN Bengals,MONEYLINE,CLE Browns,LIGHT_GREEN
2026-01-01T00:44:41.985647+00:00,v0.1,nfl,32225528,CLE Browns @ CIN Bengals,MONEYLINE,CIN Bengals,RED
2026-01-01T00:44:41.985962+00:00,v0.1,nfl,32225528,CLE Browns @ CIN Bengals,MONEYLINE,CLE Browns,LIGHT_GREEN
2026-01-01T00:49:31.964903+00:00,v0.1,nfl,32225528,CLE Browns @ CIN Bengals,MONEYLINE,CIN Bengals,RED
2026-01-01T00:49:31.965231+00:00,v0.1,nfl,32225528,CLE Browns @ CIN Bengals,MONEYLINE,CLE Browns,LIGHT_GREEN
2026-01-01T00:52:49.654874+00:00,v0.1,nfl,32225528,CLE Browns @ CIN Bengals,MONEYLINE,CIN Bengals,RED
2026-01-01T00:52:49.655155+00:00,v0.1,nfl,32225528,CLE Browns @ CIN Bengals,MONEYLINE,CLE Browns,LIGHT_GREEN
